user_id;platform;gender;age;age group
f6ae26b4-f319-4305-a6ca-9cdd8528695d;Desktop;male;18;less than 20
f038ad7e-db1f-430f-8974-12c83a20eb8e;Mobile;male;20;20 to 29
f3b05d57-f280-41fc-a32d-d94647bade9a;Mobile;female;18;less than 20
13e305ec-6c39-4b60-9cf1-5ddeae54b677;Mobile;male;20;20 to 29
e0ffda50-97e7-4872-a467-cc143cbac8fc;Mobile;female;12;less than 20
cb71d11a-4e8d-4ab8-80be-ac1f46f5b2d1;null;male;Unknown;Unknown
cd3dad39-da3f-4ada-9e09-a9832ca7bdd7;Mobile;male;21;20 to 29
f3b94dcb-2dde-48d7-968d-606fcddd692d;Desktop;male;46;40 or more
ddbc5616-edb8-4052-9186-6e105e4491f6;Mobile;male;20;20 to 29
a7788435-7465-4f4d-9f4f-d412db68b295;Mobile;female;18;less than 20
